Player,Tm,vs,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
Devin Booker,PHO,@,NOP,W,39:22,19,28,.679,8,16,.500,6,7,.857,1,2,3,9,0,1,3,3,52,+8,43.7,2024-04-01
Jaren Jackson,MEM,@,DET,W,34:23,13,23,.565,2,3,.667,12,14,.857,2,5,7,3,3,2,3,2,40,-13,33.9,2024-04-01
Tyrese Haliburton,IND,,BRK,W,26:43,9,15,.600,4,7,.571,5,5,1.000,0,4,4,13,1,1,0,1,27,+26,31.7,2024-04-01
Cade Cunningham,DET,,MEM,L,34:02,13,22,.591,3,4,.750,7,8,.875,1,3,4,8,2,1,4,1,36,+6,30.9,2024-04-01
Dalano Banton,POR,@,ORL,L,35:23,8,17,.471,4,8,.500,6,8,.750,0,5,5,5,3,2,1,1,26,+1,24.5,2024-04-01
Jusuf Nurkić,PHO,@,NOP,W,35:50,5,11,.455,1,2,.500,8,11,.727,8,11,19,4,1,2,1,5,19,+19,23.2,2024-04-01
Bogdan Bogdanović,ATL,@,CHI,W,33:58,6,7,.857,2,2,1.000,6,6,1.000,0,4,4,6,0,2,1,1,20,+19,22.9,2024-04-01
Miles Bridges,CHO,,BOS,L,42:39,10,23,.435,3,9,.333,3,3,1.000,1,10,11,8,0,0,1,0,26,-13,22.2,2024-04-01
Wendell Carter,ORL,,POR,W,31:12,6,10,.600,1,4,.250,4,7,.571,3,10,13,5,3,1,2,2,17,+13,20.7,2024-04-01
Kristaps Porziņģis,BOS,@,CHO,W,30:16,6,10,.600,1,3,.333,7,8,.875,2,5,7,5,0,1,1,1,20,+11,20.7,2024-04-01
DeMar DeRozan,CHI,,ATL,L,39:05,10,23,.435,0,3,.000,11,12,.917,0,2,2,5,2,0,3,4,31,-6,20.0,2024-04-01
Zion Williamson,NOP,,PHO,L,36:45,10,20,.500,0,0,,10,13,.769,1,1,2,5,1,0,3,4,30,-20,19.7,2024-04-01
Sam Hauser,BOS,@,CHO,W,24:14,9,13,.692,7,11,.636,0,0,,1,4,5,0,0,0,1,2,25,+7,19.6,2024-04-01
Jayson Tatum,BOS,@,CHO,W,34:23,9,19,.474,4,10,.400,3,3,1.000,0,10,10,4,2,1,4,2,25,+14,19.0,2024-04-01
Vit Krejci,ATL,@,CHI,W,24:54,6,6,1.000,6,6,1.000,0,0,,0,4,4,3,0,0,1,1,18,+1,18.1,2024-04-01
Grant Williams,CHO,,BOS,L,33:01,10,16,.625,2,4,.500,1,2,.500,3,4,7,2,0,0,1,3,23,0,17.9,2024-04-01
Trey Murphy,NOP,,PHO,L,32:18,7,14,.500,4,10,.400,3,4,.750,1,5,6,4,2,0,3,0,21,-18,17.6,2024-04-01
Luke Kennard,MEM,@,DET,W,36:00,7,14,.500,5,11,.455,0,0,,0,3,3,8,1,0,3,0,19,0,16.5,2024-04-01
Jabari Walker,POR,@,ORL,L,40:21,7,15,.467,2,6,.333,2,3,.667,3,6,9,5,0,0,0,2,18,0,16.5,2024-04-01
Jalen Smith,IND,,BRK,W,15:34,7,11,.636,1,1,1.000,2,3,.667,6,4,10,0,0,1,1,1,17,+5,16.4,2024-04-01
Jalen Suggs,ORL,,POR,W,32:46,5,8,.625,2,5,.400,3,3,1.000,0,3,3,7,0,2,2,1,15,+10,16.2,2024-04-01
Clint Capela,ATL,@,CHI,W,26:04,6,9,.667,0,0,,3,7,.429,5,6,11,1,1,2,1,2,15,+12,16.1,2024-04-01
Bradley Beal,PHO,@,NOP,W,39:05,5,8,.625,3,4,.750,0,0,,3,6,9,6,2,1,3,3,13,+2,16.0,2024-04-01
Derrick White,BOS,@,CHO,W,35:38,7,15,.467,4,10,.400,1,1,1.000,2,7,9,5,0,1,2,3,19,+13,15.8,2024-04-01
Franz Wagner,ORL,,POR,W,32:38,6,10,.600,1,2,.500,7,9,.778,1,5,6,1,0,0,1,2,20,+7,15.7,2024-04-01
Chimezie Metu,DET,,MEM,L,27:44,6,10,.600,1,3,.333,4,4,1.000,4,4,8,0,0,2,1,3,17,-8,15.6,2024-04-01
Deandre Ayton,POR,@,ORL,L,36:00,10,18,.556,0,0,,0,0,,4,8,12,3,0,0,2,4,20,-8,15.1,2024-04-01
Mikal Bridges,BRK,@,IND,L,29:29,7,17,.412,3,8,.375,2,2,1.000,0,0,0,6,1,0,0,0,19,-30,15.1,2024-04-01
Andre Drummond,CHI,,ATL,L,20:04,5,8,.625,0,0,,3,6,.500,8,10,18,0,0,0,1,2,13,-4,15.0,2024-04-01
Al Horford,BOS,@,CHO,W,24:50,6,11,.545,3,6,.500,0,0,,3,2,5,3,0,0,0,0,15,+8,14.5,2024-04-01
Brandon Clarke,MEM,@,DET,W,23:22,7,12,.583,1,1,1.000,0,0,,5,2,7,0,1,2,1,2,15,+10,14.1,2024-04-01
Jaden Ivey,DET,,MEM,L,34:51,7,17,.412,2,8,.250,4,5,.800,0,3,3,6,0,0,2,1,20,0,13.2,2024-04-01
Brandon Miller,CHO,,BOS,L,40:22,7,15,.467,3,6,.500,2,2,1.000,1,4,5,2,1,0,1,4,19,-5,13.0,2024-04-01
Obi Toppin,IND,,BRK,W,18:33,6,9,.667,1,3,.333,1,2,.500,1,3,4,3,1,0,1,2,14,+9,12.6,2024-04-01
Tosan Evbuomwan,DET,,MEM,L,35:21,4,5,.800,2,3,.667,0,0,,2,3,5,2,1,1,1,0,10,+6,12.5,2024-04-01
Trendon Watford,BRK,@,IND,L,33:48,8,11,.727,1,2,.500,4,7,.571,1,1,2,0,1,1,4,4,21,-12,12.4,2024-04-01
Kevin Durant,PHO,@,NOP,W,40:57,7,19,.368,3,11,.273,3,3,1.000,1,6,7,3,2,0,3,2,20,+13,12.3,2024-04-01
Cam Thomas,BRK,@,IND,L,29:02,7,16,.438,0,3,.000,8,9,.889,0,1,1,2,0,0,1,4,22,-25,12.3,2024-04-01
Coby White,CHI,,ATL,L,39:19,8,21,.381,2,7,.286,4,4,1.000,1,2,3,3,1,0,1,4,22,-9,12.3,2024-04-01
Dyson Daniels,NOP,,PHO,L,25:17,4,8,.500,1,3,.333,0,0,,2,5,7,5,2,0,0,3,9,+10,12.2,2024-04-01
Lonnie Walker,BRK,@,IND,L,19:45,5,13,.385,3,6,.500,1,2,.500,1,6,7,3,0,1,0,0,14,+11,11.8,2024-04-01
CJ McCollum,NOP,,PHO,L,39:36,6,17,.353,2,6,.333,1,1,1.000,2,3,5,9,0,1,3,1,15,-3,11.4,2024-04-01
Vasilije Micić,CHO,,BOS,L,36:57,5,13,.385,1,6,.167,2,2,1.000,0,2,2,9,0,0,1,1,13,-1,11.4,2024-04-01
Herbert Jones,NOP,,PHO,L,32:38,4,7,.571,1,2,.500,0,0,,0,1,1,3,4,0,0,3,9,-13,10.9,2024-04-01
T.J. McConnell,IND,,BRK,W,17:56,5,13,.385,0,0,,0,0,,0,4,4,8,2,0,0,2,10,+13,10.9,2024-04-01
Gary Harris,ORL,,POR,W,34:39,5,10,.500,2,6,.333,2,2,1.000,0,4,4,2,1,0,1,3,14,+9,10.4,2024-04-01
Pascal Siakam,IND,,BRK,W,23:39,7,15,.467,1,2,.500,0,0,,2,4,6,2,1,0,2,0,15,+22,10.3,2024-04-01
Gregory Jackson,MEM,@,DET,W,30:28,4,9,.444,1,4,.250,2,2,1.000,0,4,4,4,0,1,0,2,11,-13,10.2,2024-04-01
Myles Turner,IND,,BRK,W,14:13,3,5,.600,2,4,.500,1,2,.500,0,6,6,0,1,5,2,1,9,+19,10.2,2024-04-01
Ayo Dosunmu,CHI,,ATL,L,35:37,7,13,.538,1,5,.200,0,0,,1,2,3,1,1,0,1,2,15,-10,9.9,2024-04-01
Isaiah Jackson,IND,,BRK,W,14:16,3,3,1.000,0,0,,2,2,1.000,1,2,3,0,0,2,0,1,8,0,9.4,2024-04-01
