Player,Tm,vs,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
Tyrese Maxey,PHI,@,UTA,W,41:06,17,27,.630,7,9,.778,10,11,.909,0,2,2,1,0,1,0,4,51,-2,38.9,2024-02-01
Lauri Markkanen,UTA,,PHI,L,33:26,10,15,.667,4,9,.444,4,4,1.000,2,8,10,3,1,0,0,2,28,+1,27.6,2024-02-01
Tobias Harris,PHI,@,UTA,W,39:03,13,21,.619,0,5,.000,2,2,1.000,2,3,5,7,1,1,0,3,28,+5,26.2,2024-02-01
Austin Reaves,LAL,@,BOS,W,34:34,10,18,.556,7,10,.700,5,7,.714,0,2,2,3,0,0,0,1,32,+16,24.9,2024-02-01
Jalen Brunson,NYK,,IND,W,36:52,15,30,.500,1,6,.167,9,11,.818,1,4,5,1,0,0,2,3,40,+4,23.6,2024-02-01
Jaxson Hayes,LAL,@,BOS,W,33:52,6,8,.750,0,0,,4,5,.800,6,4,10,2,3,0,0,0,16,+3,22.2,2024-02-01
Jalen Smith,IND,@,NYK,L,23:48,9,11,.818,2,3,.667,0,1,.000,1,8,9,0,2,2,1,0,20,+2,21.0,2024-02-01
Isaiah Hartenstein,NYK,,IND,W,35:30,6,8,.750,0,0,,0,1,.000,8,11,19,6,0,1,1,2,12,+9,20.4,2024-02-01
Santi Aldama,MEM,,CLE,L,37:30,7,12,.583,4,7,.571,0,0,,1,8,9,3,0,2,1,0,18,-13,18.0,2024-02-01
Collin Sexton,UTA,,PHI,L,24:49,8,14,.571,2,4,.500,4,4,1.000,0,1,1,6,1,1,3,2,22,-6,17.8,2024-02-01
John Collins,UTA,,PHI,L,33:38,6,10,.600,1,3,.333,2,3,.667,3,6,9,2,1,2,0,2,15,-7,16.9,2024-02-01
D'Angelo Russell,LAL,@,BOS,W,39:02,5,20,.250,4,8,.500,2,4,.500,2,6,8,14,2,0,1,1,16,+4,16.8,2024-02-01
Donovan Mitchell,CLE,@,MEM,W,33:23,10,19,.526,3,9,.333,2,4,.500,0,4,4,7,0,0,4,3,25,+16,15.8,2024-02-01
Tyrese Haliburton,IND,@,NYK,L,21:54,6,10,.600,2,6,.333,1,1,1.000,0,4,4,5,0,2,1,1,15,+5,15.1,2024-02-01
Kelly Olynyk,UTA,,PHI,L,18:49,3,4,.750,1,2,.500,7,7,1.000,0,3,3,3,0,0,0,1,14,-5,15.0,2024-02-01
Kristaps Porziņģis,BOS,,LAL,L,29:29,7,15,.467,1,7,.143,2,2,1.000,1,6,7,3,1,5,3,1,17,-22,15.0,2024-02-01
Jayson Tatum,BOS,,LAL,L,36:37,8,21,.381,5,10,.500,2,2,1.000,2,5,7,3,1,1,2,3,23,-12,15.0,2024-02-01
Vince Williams,MEM,,CLE,L,30:55,5,10,.500,1,5,.200,6,6,1.000,2,4,6,2,1,1,2,2,17,-10,14.9,2024-02-01
Max Strus,CLE,@,MEM,W,28:33,4,8,.500,2,4,.500,1,2,.500,4,6,10,4,1,0,0,1,11,+13,14.6,2024-02-01
Jaren Jackson,MEM,,CLE,L,34:26,10,23,.435,2,6,.333,3,4,.750,0,5,5,5,1,3,5,4,25,-11,14.0,2024-02-01
Kelly Oubre,PHI,@,UTA,W,39:35,6,14,.429,3,6,.500,1,2,.500,1,3,4,2,2,3,0,4,16,-1,13.7,2024-02-01
