Player,Tm,vs,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
Nikola Jokić,DEN,,LAL,W,36:16,12,22,.545,3,5,.600,2,4,.500,3,10,13,11,1,1,2,2,29,+15,29.3,2023-10-24
Devin Booker,PHO,@,GSW,W,36:58,13,21,.619,3,8,.375,3,3,1.000,1,5,6,8,1,0,6,4,32,+5,23.7,2023-10-24
LeBron James,LAL,@,DEN,L,29:00,10,16,.625,1,4,.250,0,1,.000,1,7,8,5,1,0,0,1,21,+7,20.3,2023-10-24
Aaron Gordon,DEN,,LAL,W,34:59,7,11,.636,1,2,.500,0,0,,2,5,7,5,2,1,0,0,15,+6,19.2,2023-10-24
Jamal Murray,DEN,,LAL,W,34:15,8,13,.615,3,5,.600,2,2,1.000,0,2,2,6,0,1,1,3,21,+3,18.4,2023-10-24
Taurean Prince,LAL,@,DEN,L,29:53,6,8,.750,4,6,.667,2,2,1.000,1,2,3,1,0,1,1,0,18,-14,16.5,2023-10-24
Stephen Curry,GSW,,PHO,L,30:45,8,20,.400,4,14,.286,7,7,1.000,1,4,5,1,1,0,2,5,27,-9,15.8,2023-10-24
Jusuf Nurkić,PHO,@,GSW,W,27:52,5,8,.625,1,2,.500,3,3,1.000,3,11,14,3,0,1,1,5,14,+2,15.6,2023-10-24
Josh Okogie,PHO,@,GSW,W,31:38,7,9,.778,1,1,1.000,2,2,1.000,4,1,5,1,1,0,2,2,17,+2,15.5,2023-10-24
Kentavious Caldwell-Pope,DEN,,LAL,W,36:15,8,12,.667,2,3,.667,2,2,1.000,1,1,2,1,3,1,3,5,20,+10,15.2,2023-10-24
Chris Paul,GSW,,PHO,L,34:13,4,15,.267,0,6,.000,6,7,.857,1,5,6,9,2,0,1,0,14,+5,14.2,2023-10-24
Austin Reaves,LAL,@,DEN,L,31:20,4,11,.364,1,2,.500,5,7,.714,4,4,8,4,2,0,2,2,14,-14,13.1,2023-10-24
Michael Porter,DEN,,LAL,W,30:08,5,13,.385,2,9,.222,0,0,,2,10,12,2,2,0,0,1,12,+12,12.3,2023-10-24
Moses Moody,GSW,,PHO,L,17:59,4,6,.667,2,4,.500,1,2,.500,1,2,3,0,3,1,1,1,11,-6,11.6,2023-10-24
Anthony Davis,LAL,@,DEN,L,34:09,6,17,.353,1,2,.500,4,4,1.000,1,7,8,4,0,2,2,3,17,-17,11.3,2023-10-24
Jonathan Kuminga,GSW,,PHO,L,20:08,4,8,.500,0,0,,4,6,.667,3,3,6,1,2,1,2,5,12,+4,9.6,2023-10-24
