id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34220,Rental unit in Ottawa · 1 bedroom · 1 bed · 1 bath,147438,Mark,,Capital,45.40924,-75.679,Private room,202,30,0,,,1,0,0,
261065,Rental unit in Ottawa · ★4.96 · 1 bedroom · 1 bed · 1 bath,1369632,Glenn,,Kitchissippi,45.39084,-75.75621,Entire home/apt,175,3,95,2023-11-05,0.65,1,0,14,STR-825-691
290033,Home in North Gower · ★5.0 · 2 bedrooms · 2 beds · 1 bath,415201,Daniel,,Rideau-Goulbourn,45.1682,-75.71208,Entire home/apt,,2,6,2023-10-09,0.05,1,0,1,STR-834-339
336692,Rental unit in Ottawa · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,1712975,Elena,,Somerset,45.4174,-75.7043,Private room,779,30,12,2022-06-01,0.15,1,365,0,
490182,Home in Ottawa · ★5.0 · 1 bedroom · 1 bed · 1 private bath,2401179,Ela,,Capital,45.4055,-75.67612,Private room,72,30,9,2022-09-27,0.13,1,121,0,
674799,Home in Ottawa · ★4.61 · 5 bedrooms · 4 beds · 1 bath,2058676,William,,Gloucester-South Nepean,45.2691,-75.72197,Entire home/apt,66,1,62,2023-11-20,0.49,1,363,12,STR-827-424
682632,Home in Ottawa · ★4.86 · 2 bedrooms · 2 beds · 1 bath,3201295,Greg And Valerie,,Kitchissippi,45.40455,-75.7313,Entire home/apt,122,30,7,2020-12-20,0.07,7,157,0,
682634,Townhouse in Ottawa · ★4.89 · 2 bedrooms · 2 beds · 1.5 baths,3201295,Greg And Valerie,,Kitchissippi,45.4003,-75.73144,Entire home/apt,112,30,9,2023-11-30,0.08,7,88,3,Exempt
743359,Townhouse in Ottawa · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,3894080,Maxine,,Gloucester-Southgate,45.34836,-75.62882,Private room,45,31,15,2023-01-23,0.23,2,260,1,
902575,Rental unit in Ottawa · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,3895093,Nicole,,Somerset,45.41753,-75.69297,Private room,75,90,7,2016-09-28,0.05,1,90,0,
943979,Rental unit in Ottawa · ★4.71 · Studio · 1 bed · 1 bath,5108859,Maria And Jim,,Somerset,45.41127,-75.69575,Entire home/apt,93,60,301,2023-06-21,2.32,3,224,2,
987450,Condo in Ottawa · ★4.70 · Studio · 1 bed · 1 bath,5108859,Maria And Jim,,Somerset,45.41083,-75.69474,Entire home/apt,91,60,322,2023-08-16,2.49,3,230,3,
1026310,Home in Ottawa · ★4.76 · 4 bedrooms · 4 beds · 2.5 baths,5649683,Melanie,,Rideau-Rockcliffe,45.45592,-75.65727,Entire home/apt,725,30,17,2021-12-29,0.18,1,267,0,
1038420,Home in Ottawa · ★4.91 · 1 bedroom · 1 bed · 1 private bath,5716841,Phil And Jane,,Somerset,45.41213,-75.71018,Private room,89,2,578,2023-12-11,4.47,1,327,73,Exempt
1097429,Home in Ottawa · ★4.95 · 1 bedroom · 2 beds · 1 bath,2282184,Kate & Erik,,Somerset,45.41043,-75.7019,Private room,79,30,110,2015-07-20,0.85,1,77,0,
1137223,Rental unit in Ottawa · ★4.72 · 1 bedroom · 1 bed · 1 bath,5108859,Maria And Jim,,West Carleton-March,45.28792,-76.1139,Entire home/apt,74,90,178,2020-03-08,1.42,3,90,0,
1151370,Home in Ottawa · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,1755714,Janice And Garry,,College,45.34761,-75.7843,Private room,36,30,47,2023-12-01,0.37,2,319,6,
1244811,Home in Ottawa · 5 bedrooms · 4 beds · 2.5 baths,6779170,Claudia,,Kanata North,45.34271,-75.93672,Entire home/apt,,30,1,2013-08-06,0.01,1,0,0,
1450947,Townhouse in Ottawa · ★4.85 · 3 bedrooms · 4 beds · 1 bath,7354245,Lisa,,Kitchissippi,45.39846,-75.72681,Entire home/apt,499,30,111,2023-08-15,0.88,26,295,3,Exempt
1587517,Rental unit in Ottawa · ★4.65 · 1 bedroom · 1 bed · 1 bath,1122578,Claudia,,Bay,45.35206,-75.79641,Entire home/apt,,180,20,2017-08-31,0.18,1,0,0,
1641234,Home in Ottawa · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,8713727,Mary,,Gloucester-South Nepean,45.32283,-75.60128,Private room,39,30,41,2023-09-30,0.33,3,321,5,
1650642,Home in Ottawa · ★4.83 · 2 bedrooms · 2 beds · 2.5 baths,658040,Sharique,,Gloucester-South Nepean,45.2849,-75.71337,Private room,,30,6,2016-06-27,0.06,1,0,0,
