Working_Year,Company_Size,Employee_Location,Company_Location,Experience,Type,Remote_Working_Ratio,Salary_Eur,Linear Regression,Random Forest,Tree,Fold
time,L M S,Other CA DE GB IN US,Other CA DE GB IN US,EN EX MI SE,Data\ Science Cyber\ Security,0 50 100,continuous,continuous,continuous,continuous,1 2 3 4 5 6 7 8 9 10
,,,,,,,class,meta,meta,meta,meta
2020-01-01 00:00:00,M,US,US,MI,Data Science,0,93577.47509900396,103794.96842906781,121507.4663183586,148320.0,1
2020-01-01 00:00:00,S,DE,DE,MI,Data Science,100,56626.785071402854,69968.52478912935,75154.56329164167,53982.999850594024,1
2020-01-01 00:00:00,L,US,US,EN,Data Science,100,66841.05364214569,80782.37469375279,100957.49438159344,133682.10728429136,1
2020-01-01 00:00:00,L,US,US,EN,Data Science,100,86893.3757350294,80782.37469375279,100957.49438159344,133682.10728429136,1
2020-01-01 00:00:00,S,US,US,EN,Data Science,100,100261.58646345855,72864.38839949359,118899.22956346822,133682.10728429136,1
2021-01-01 00:00:00,L,GB,GB,EN,Data Science,50,78803.69614784591,45450.767631754425,58712.224304550284,36881.55333333334,1
2021-01-01 00:00:00,L,IN,US,EX,Data Science,100,143230.82923316932,115932.1372850565,161290.99277907115,52291.76605724229,1
2021-01-01 00:00:00,M,US,US,MI,Data Science,100,95487.21948877955,111377.72694614253,118931.65536621465,114584.66338653545,1
2021-01-01 00:00:00,L,DE,DE,SE,Data Science,100,75623.01692067683,112176.95585029057,93928.05141964678,92304.31217248691,1
2021-01-01 00:00:00,L,GB,CA,MI,Data Science,50,51790.363614544585,74170.75977198774,108406.05042489844,78102.82011280452,1
2021-01-01 00:00:00,L,GB,GB,MI,Data Science,50,49194.0597623905,72338.35427724512,78198.95215338089,78102.82011280452,1
2021-01-01 00:00:00,L,US,US,EN,Data Science,100,214846.249849994,84590.57523092514,74568.03720803377,67000.20000800032,1
2021-01-01 00:00:00,M,Other,Other,MI,Data Science,100,38375.36301452058,59309.07549973071,55771.14806592264,47238.48253930158,1
2021-01-01 00:00:00,M,US,US,SE,Data Science,100,190974.4389775591,141859.97117587223,145629.0920117757,141321.08724348975,1
2021-01-01 00:00:00,L,US,US,SE,Data Science,0,229169.32677307093,138185.84812624316,144609.29270555437,149198.78195127807,1
2021-01-01 00:00:00,L,US,US,MI,Data Science,100,143230.82923316932,111478.16187641583,131934.65045489263,132874.13988867248,1
2021-01-01 00:00:00,L,DE,DE,MI,Data Science,50,86639.373574943,79073.81912217868,94139.45911032784,85646.30385215409,1
2021-01-01 00:00:00,S,Other,Other,EN,Data Science,100,8853.570142805713,24603.93749025413,53645.09836679181,13385.079403176127,1
2021-01-01 00:00:00,S,Other,Other,MI,Data Science,50,54177.53510140406,48870.63163736262,59043.81502260091,68456.3782551302,1
