Salary_Eur,Working_Year,Experience,Employment_Status,Remote_Working_Ratio,Company_Size,Employee_Location,Company_Location,Type,Designation
continuous,time,EN EX MI SE,CT FL FT PT,0 50 100,L M S,AE AR AT AU BE BG BO BR CA CH CL CN CO CZ DE DK DZ EE ES FR GB GR HK HN HR HU IE IN IQ IR IT JE JP KE LU MD MT MX MY NG NL NZ PH PK PL PR PT RO RS RU SG SI TN TR UA US VN AF AZ BW CR EG ET GH ID IL KG LT NO SA SE TW ZA,AE AS AT AU BE BR CA CH CL CN CO CZ DE DK DZ EE ES FR GB GR HN HR HU IE IL IN IQ IR IT JP KE LU MD MT MX MY NG NL NZ PK PL PT RO RU SG SI TR UA US VN AF AQ AR AX AZ BW EG ET ID NO RS SA SE TW UM ZA,Data\ Science Cyber\ Security,string
,,,,,,,,class,meta
76230.3132125285,2020-01-01 00:00:00,MI,FT,0,L,DE,DE,Data Science,Data Scientist
248266.77067082684,2020-01-01 00:00:00,SE,FT,0,S,JP,JP,Data Science,Machine Learning Scientist
104103.98415936637,2020-01-01 00:00:00,SE,FT,50,M,GB,GB,Data Science,Big Data Engineer
19097.44389775591,2020-01-01 00:00:00,MI,FT,0,S,HN,HN,Data Science,Product Data Analyst
143230.82923316932,2020-01-01 00:00:00,SE,FT,50,L,US,US,Data Science,Machine Learning Engineer
68750.79803192128,2020-01-01 00:00:00,EN,FT,100,L,US,US,Data Science,Data Analyst
181425.71702868116,2020-01-01 00:00:00,SE,FT,100,S,US,US,Data Science,Lead Data Scientist
34122.35689427577,2020-01-01 00:00:00,MI,FT,50,L,HU,HU,Data Science,Data Scientist
128907.7523100924,2020-01-01 00:00:00,MI,FT,100,L,US,US,Data Science,Business Data Analyst
119359.03036121445,2020-01-01 00:00:00,SE,FT,50,S,NZ,NZ,Data Science,Lead Data Engineer
49004.992199687986,2020-01-01 00:00:00,EN,FT,0,S,FR,FR,Data Science,Data Scientist
38654.18216728669,2020-01-01 00:00:00,MI,FT,0,L,IN,IN,Data Science,Data Scientist
38114.676587063484,2020-01-01 00:00:00,EN,FT,0,M,FR,FR,Data Science,Data Scientist
83073.88695547821,2020-01-01 00:00:00,MI,FT,100,L,US,US,Data Science,Lead Data Analyst
81164.14256570263,2020-01-01 00:00:00,MI,FT,100,L,US,US,Data Science,Data Analyst
7638.9775591023645,2020-01-01 00:00:00,MI,FT,50,L,PK,PK,Data Science,Data Analyst
39807.66830673227,2020-01-01 00:00:00,EN,FT,100,S,JP,JP,Data Science,Data Engineer
108900.3120124805,2020-01-01 00:00:00,SE,FT,100,S,PL,GB,Data Science,Big Data Engineer
5449.453978159127,2020-01-01 00:00:00,EN,FT,50,M,IN,IN,Data Science,Data Science Consultant
53472.84291371655,2020-01-01 00:00:00,MI,FT,100,M,PT,US,Data Science,Lead Data Engineer
41375.56702268091,2020-01-01 00:00:00,MI,FT,0,M,CN,CN,Data Science,Machine Learning Engineer
5797.983919356774,2020-01-01 00:00:00,MI,FT,100,L,IN,IN,Data Science,Product Data Analyst
45737.41749669987,2020-01-01 00:00:00,SE,FT,50,L,GR,GR,Data Science,Data Engineer
93577.47509900396,2020-01-01 00:00:00,MI,FT,0,M,US,US,Data Science,BI Data Analyst
109810.3084123365,2020-01-01 00:00:00,MI,FT,0,L,AE,AE,Data Science,Lead Data Scientist
