iteracao	temperatura	localizacao	rentabilidade	impacto ambiental
0	2560.0	['A30', 'A8', 'A20', 'A24']	12000	7
1	2560.0	['A8', 'A20', 'A24', 'A11']	14900	8
2	2560.0	['A20', 'A24', 'A11', 'A7']	14000	7
3	2560.0	['A24', 'A11', 'A7', 'A19']	12800	7
4	2560.0	['A20', 'A24', 'A11', 'A13']	12300	7
5	1280.0	['A24', 'A11', 'A13', 'A27']	9800	7
6	1280.0	['A20', 'A24', 'A11', 'A8']	14900	8
7	1280.0	['A20', 'A24', 'A8', 'A1']	12900	6
8	1280.0	['A24', 'A11', 'A8', 'A19']	13700	8
9	1280.0	['A20', 'A24', 'A8', 'A15']	12200	5
10	640.0	['A24', 'A11', 'A8', 'A27']	12400	8
11	640.0	['A20', 'A24', 'A8', 'A1']	12900	6
12	640.0	['A20', 'A24', 'A8', 'A1']	12900	6
13	640.0	['A20', 'A24', 'A8', 'A12']	15000	8
14	640.0	['A20', 'A24', 'A8', 'A4']	12400	8
15	320.0	['A20', 'A24', 'A8', 'A11']	14900	8
16	320.0	['A20', 'A24', 'A12', 'A15']	12600	7
17	320.0	['A20', 'A24', 'A8', 'A17']	11600	8
18	320.0	['A24', 'A8', 'A12', 'A19']	13800	8
19	320.0	['A20', 'A24', 'A8', 'A30']	12000	7
20	160.0	['A20', 'A24', 'A8', 'A3']	12200	7
21	160.0	['A20', 'A24', 'A8', 'A1']	12900	6
22	160.0	['A24', 'A8', 'A12', 'A27']	12500	8
23	160.0	['A20', 'A24', 'A8', 'A10']	11400	7
24	160.0	['A20', 'A24', 'A8', 'A3']	12200	7
